time	V(vout)
Step Information: Run=0  (Run: 1/65)
4.862802455037769e-001	2.309692e-004
4.862820343232920e-001	2.155404e-004
4.862856119623224e-001	2.067199e-004
4.862927672403831e-001	2.024869e-004
4.863070777965045e-001	2.009761e-004
5.106980911525554e-001	1.988874e-004
5.302293411525554e-001	1.975081e-004
5.497605911525554e-001	1.962642e-004
5.692918411525554e-001	1.951431e-004
5.888230911525554e-001	1.941325e-004
6.083543411525554e-001	1.932216e-004
6.278855911525554e-001	1.924005e-004
6.474168411525554e-001	1.916605e-004
6.669480911525554e-001	1.909935e-004
6.864793411525554e-001	1.903923e-004
7.060105911525554e-001	1.898506e-004
7.255418411525554e-001	1.893629e-004
7.450730911525554e-001	1.889250e-004
7.646043411525554e-001	1.885350e-004
7.841355911525554e-001	1.881946e-004
8.036668411525554e-001	1.879116e-004
8.231980911525554e-001	1.877039e-004
8.427293411525554e-001	1.876042e-004
8.622605911525554e-001	1.876688e-004
8.817918411525554e-001	1.880023e-004
9.013230911525554e-001	1.888127e-004
9.208543411525554e-001	1.906382e-004
9.403855911525554e-001	1.966206e-004
9.538133255275554e-001	2.134623e-004
9.556443802150554e-001	2.264812e-004
9.559495559963054e-001	2.305137e-004
9.565599075588054e-001	2.424609e-004
9.567124954494304e-001	2.470254e-004
9.570176712306804e-001	2.720588e-004
9.576280227931804e-001	3.651085e-004
9.576470962795085e-001	3.730553e-004
9.576852432521648e-001	4.130798e-004
9.577615371974773e-001	5.711094e-004
9.577806106838054e-001	6.632191e-004
9.577853790553874e-001	7.116213e-004
9.577949157985515e-001	8.564304e-004
9.577972999843425e-001	9.153130e-004
9.578020683559245e-001	1.088547e-003
9.578032604488200e-001	1.153801e-003
9.578056446346110e-001	1.333749e-003
9.578062406810588e-001	1.394725e-003
9.578074327739543e-001	1.597292e-003
9.578098169597453e-001	2.203441e-003
9.578101984466719e-001	2.379626e-003
9.578109614205251e-001	2.917535e-003
9.578111521639885e-001	3.113449e-003
9.578115336509151e-001	3.701252e-003
9.578119129785804e-001	4.503254e-003
9.578120025947101e-001	4.780463e-003
9.578121818269696e-001	5.586860e-003
9.578123954431093e-001	7.007152e-003
9.578125609729262e-001	8.780075e-003
9.578126893687294e-001	1.107094e-002
9.578127989272731e-001	1.434419e-002
9.578128939920028e-001	1.916107e-002
9.578129784313135e-001	2.652892e-002
9.578130558935971e-001	3.829168e-002
9.578131309291210e-001	5.834140e-002
9.578132121763704e-001	9.489538e-002
9.578132917829002e-001	1.511335e-001
9.578133984911986e-001	2.543151e-001
9.578135127112695e-001	3.853446e-001
9.578136506042945e-001	5.559006e-001
9.578138183983629e-001	7.684169e-001
9.578141455980003e-001	1.186210e+000
9.578147999972749e-001	2.023786e+000
9.578152687158049e-001	2.622135e+000
9.578155517285403e-001	2.978334e+000
9.578157087482270e-001	3.166775e+000
9.578157904274177e-001	3.251505e+000
9.578158289782707e-001	3.279711e+000
9.578158557044582e-001	3.289677e+000
9.578159091568330e-001	3.297375e+000
9.578159226459745e-001	3.298144e+000
9.578159402090130e-001	3.298520e+000
9.578159662453829e-001	3.298849e+000
9.578159967990669e-001	3.299089e+000
9.578160269680692e-001	3.299234e+000
9.578160873060738e-001	3.299401e+000
9.578161505702948e-001	3.299501e+000
9.578162770987367e-001	3.299597e+000
9.578164872397201e-001	3.299670e+000
9.578169075216869e-001	3.299724e+000
9.578177480856206e-001	3.299761e+000
9.578194292134878e-001	3.299781e+000
9.578227914692223e-001	3.299792e+000
9.578295159806914e-001	3.299797e+000
9.578429650036296e-001	3.299799e+000
9.612590168299295e-001	3.299799e+000
9.647019667021057e-001	3.299800e+000
9.715878664464582e-001	3.299800e+000
9.813534914464582e-001	3.299801e+000
9.911191164464582e-001	3.299802e+000
1.000884741446458e+000	3.299802e+000
1.010650366446458e+000	3.299803e+000
1.020415991446458e+000	3.299804e+000
1.039947241446458e+000	3.299805e+000
1.059478491446458e+000	3.299806e+000
1.079009741446458e+000	3.299807e+000
1.108306616446458e+000	3.299808e+000
1.137603491446458e+000	3.299809e+000
1.166900366446458e+000	3.299810e+000
1.196197241446458e+000	3.299811e+000
1.225494116446458e+000	3.299811e+000
1.264556616446458e+000	3.299812e+000
1.303619116446458e+000	3.299812e+000
1.342681616446458e+000	3.299812e+000
1.391509741446458e+000	3.299809e+000
1.411040991446458e+000	3.299804e+000
1.420806616446458e+000	3.299800e+000
1.422027319571458e+000	3.299798e+000
1.424468725821458e+000	3.299790e+000
1.425079077383958e+000	3.299788e+000
1.426299780508958e+000	3.299775e+000
1.428741186758958e+000	3.299725e+000
1.428817480704271e+000	3.299720e+000
1.428970068594896e+000	3.299701e+000
1.429008215567552e+000	3.299695e+000
1.429084509512864e+000	3.299670e+000
1.429237097403489e+000	3.299585e+000
1.429275244376146e+000	3.299543e+000
1.429284781119310e+000	3.299523e+000
